Level,Exp Required,Exp Increase,Exp Change LoL %,Total Exp Required,
0,0,0,0,0,,
1,"7,200,000","1,440,000",,"7,200,000",
2,"8,640,000","1,440,000",100.0%,"15,840,000",
3,"10,080,000","1,440,000",100.0%,"25,920,000",
4,"11,520,000","1,440,000",100.0%,"37,440,000",
5,"12,960,000","1,440,000",100.0%,"50,400,000",
6,"14,400,000","1,440,000",100.0%,"64,800,000",
7,"15,840,000","1,440,000",100.0%,"80,640,000",
8,"17,280,000","1,440,000",100.0%,"97,920,000",
9,"18,720,000","1,440,000",100.0%,"116,640,000",
10,"20,160,000","1,440,000",100.0%,"136,800,000",
11,"21,600,000","1,440,000",100.0%,"158,400,000",
12,"23,040,000","1,440,000",100.0%,"181,440,000",
13,"24,480,000","1,440,000",100.0%,"205,920,000",
14,"25,920,000","1,440,000",100.0%,"231,840,000",
15,"27,360,000","1,440,000",100.0%,"259,200,000",
16,"28,800,000","1,440,000",100.0%,"288,000,000",
17,"30,240,000","1,440,000",100.0%,"318,240,000",
18,"31,680,000","1,440,000",100.0%,"349,920,000",
19,"33,120,000","1,440,000",100.0%,"383,040,000",
20,"34,560,000","1,440,000",100.0%,"417,600,000",
21,"36,000,000","1,440,000",100.0%,"453,600,000",,,,
22,"37,440,000","1,440,000",100.0%,"491,040,000",,,,
23,"38,880,000","1,440,000",100.0%,"529,920,000",,,,
24,"40,320,000","1,440,000",100.0%,"570,240,000",,,,
25,"41,760,000","1,440,000",100.0%,"612,000,000",,,,
26,"43,200,000","1,440,000",100.0%,"655,200,000",,,,
27,"44,640,000","1,440,000",100.0%,"699,840,000",,,,
28,"46,080,000","1,440,000",100.0%,"745,920,000",,,,
29,"47,520,000","1,440,000",100.0%,"793,440,000",,,,
30,"48,960,000","1,440,000",100.0%,"842,400,000",,,,
31,"50,400,000","1,440,000",100.0%,"892,800,000",,,,
32,"51,840,000","1,440,000",100.0%,"944,640,000",,,,
33,"53,280,000","1,440,000",100.0%,"997,920,000",,,,
34,"54,720,000","1,440,000",100.0%,"1,052,640,000",,,,
35,"56,160,000","1,440,000",100.0%,"1,108,800,000",,,,
36,"57,600,000","1,440,000",100.0%,"1,166,400,000",,,,
37,"59,040,000","1,440,000",100.0%,"1,225,440,000",,,,
38,"60,480,000","1,440,000",100.0%,"1,285,920,000",,,,
39,"61,920,000","1,440,000",100.0%,"1,347,840,000",,,,
